序号,算法,文件名,哈希值,大小,创建时间,修改时间,文件路径
1,SHA256,secret_1.mp4,1D226C99E95EF42214222B507BAD3706841EEA8AD59B11D20231E0663ED91099,50.08 MB,2025年8月4日 11:09:57,2025年8月4日 11:09:59,完整性校验_6FEC A20A@A\files\origin\secret_1.mp4
2,SHA256,secret_1.mp4.sig,26D2193217921930E2B4ACFCDF4CB6EC98E9264918E2621976D0B2F47E267979,849 B,2025年8月4日 15:21:41,2025年8月4日 15:22:08,完整性校验_6FEC A20A@A\files\sign\secret_1.mp4.sig
3,SHA256,all_files_hash.csv,02C8D1D53DA663005482DA71540CDEE02BB3DF7BD21F4F441E3ED0D6A696810D,1.33 KB,2025年8月4日 15:11:21,2025年8月4日 15:11:21,完整性校验_6FEC A20A@A\hash\all_files_hash.csv
4,SHA256,hash test scypt_1.ps1,76245BE9FD970AE4A4C60A1874AA13D6ECA5A91906BCED0CF3755C1D16317D5F,11.22 KB,2025年8月4日 13:27:51,2025年8月4日 15:07:29,完整性校验_6FEC A20A@A\hash tools\hash test scypt_1.ps1
5,SHA256,GPGsign scypt_1.bat,36558A15A740A32CF38E1AD3682146D3A18C18EB83C0C0E98AE1142BF69C4285,1.28 KB,2025年8月4日 09:35:36,2025年8月4日 15:21:02,完整性校验_6FEC A20A@A\sign tools\GPGsign scypt_1.bat
6,SHA256,sign_files.ps1,DAA3BB5791A15F65F7773B9506CBB74BC174086FF3B7388C5BD15F8EAAFEDDF5,3.11 KB,2025年8月4日 09:35:36,2025年8月4日 15:21:02,完整性校验_6FEC A20A@A\sign tools\sign_files.ps1
7,SHA256,verify_A_1.bat,7408839B8C1036B4F8151077292FFFCCCE8DC60AE795F664E285E02CA11A6E85,1.97 KB,2025年8月4日 09:54:04,2025年8月4日 15:07:32,完整性校验_6FEC A20A@A\verify tools\verify_A_1.bat
8,SHA256,verify_B_1.ps1,D0EDDB99E1CD4B9A7F6ED59112157DECE7A4089C0196C8AFA619456D8A880020,12.44 KB,2025年8月4日 10:18:08,2025年8月4日 15:07:32,完整性校验_6FEC A20A@A\verify tools\verify_B_1.ps1
,,,,,,,
校验时间,2025年8月4日 17:00:23,,,,,,
校验人姓名,王贵平,,,,,,
校验人GPG密钥ID,sec_ID=4BC2 688A 6D17 9053 F19B  C5B2 2FFC AC97 6FEC A20A&pub_ID=839C 460C BDE4 F58A 75BE  482C 8342 EA94 1D2E 1425,,,,,,
公钥获取地址,完整性校验_6FEC A20A@A\王贵平本人对此仓库的签名文件\王贵平_0x6FECA20A_public.asc,,,,,,
成功处理文件数,8,,,,,,
处理失败文件数,0,,,,,,
时间异常文件数,0,,,,,,
脚本名称,文件哈希计算与校验脚本,,,,,,
脚本设计者,王贵平,,,,,,
脚本存储路径,完整性校验_6FEC A20A@A\王贵平本人对此仓库的签名文件\完整性校验_6FEC A20A@A批次哈希计算数据脚本代码.ps1,,,,,,
脚本执行时间,2025年8月4日 17:00:24,,,,,,
